trace,sets,ways,block_bytes,capacity_bytes,write_alloc,write_policy,eviction,total_loads,total_stores,load_hits,load_misses,store_hits,store_misses,total_accesses,load_miss_rate,store_miss_rate,overall_miss_rate,total_cycles,cycles_per_access
traces/gcc.trace,1024,1,16,16384,no-write-allocate,write-through,fifo,318197,197486,309108,9089,162581,34905,515683,0.02856406565743863,0.17674670609562196,0.08531210065098133,23899883,46.34607501119874
traces/gcc.trace,1024,1,16,16384,no-write-allocate,write-through,lru,318197,197486,309108,9089,162581,34905,515683,0.02856406565743863,0.17674670609562196,0.08531210065098133,23899883,46.34607501119874
traces/gcc.trace,1024,1,16,16384,write-allocate,write-back,fifo,318197,197486,312238,5959,187502,9984,515683,0.018727392150145978,0.05055548241394327,0.03091627996269026,11127283,21.577758041277296
traces/gcc.trace,1024,1,16,16384,write-allocate,write-back,lru,318197,197486,312238,5959,187502,9984,515683,0.018727392150145978,0.05055548241394327,0.03091627996269026,11127283,21.577758041277296
traces/gcc.trace,1024,1,16,16384,write-allocate,write-through,fifo,318197,197486,312238,5959,187502,9984,515683,0.018727392150145978,0.05055548241394327,0.03091627996269026,26641483,51.662519415997814
traces/gcc.trace,1024,1,16,16384,write-allocate,write-through,lru,318197,197486,312238,5959,187502,9984,515683,0.018727392150145978,0.05055548241394327,0.03091627996269026,26641483,51.662519415997814
traces/gcc.trace,512,2,16,16384,no-write-allocate,write-through,fifo,318197,197486,310769,7428,163499,33987,515683,0.023344029013472784,0.17209827532078223,0.0803109662331316,23235483,45.0576866020404
traces/gcc.trace,512,2,16,16384,no-write-allocate,write-through,lru,318197,197486,311234,6963,164427,33059,515683,0.021882670169737616,0.16739920804512726,0.07760969432771683,23049483,44.69699990110203
traces/gcc.trace,512,2,16,16384,write-allocate,write-back,fifo,318197,197486,313943,4254,187935,9551,515683,0.013369076389783687,0.04836292192864304,0.02677032207771053,10022883,19.436132275060455
traces/gcc.trace,512,2,16,16384,write-allocate,write-back,lru,318197,197486,314453,3744,188124,9362,515683,0.011766295722461243,0.04740589206323486,0.02541483818547441,9588883,18.59452997287093
traces/gcc.trace,512,2,16,16384,write-allocate,write-through,fifo,318197,197486,313943,4254,187935,9551,515683,0.013369076389783687,0.04836292192864304,0.02677032207771053,25786283,50.00413626200592
traces/gcc.trace,512,2,16,16384,write-allocate,write-through,lru,318197,197486,314453,3744,188124,9362,515683,0.011766295722461243,0.04740589206323486,0.02541483818547441,25506683,49.461942705111476
traces/gcc.trace,256,4,16,16384,no-write-allocate,write-through,fifo,318197,197486,311017,7180,163705,33781,515683,0.02256463763014736,0.17105516340398813,0.07943058041471214,23136283,44.865320361539936
traces/gcc.trace,256,4,16,16384,no-write-allocate,write-through,lru,318197,197486,311613,6584,164819,32667,515683,0.02069158414441368,0.16541425721316955,0.07611458977705296,22897883,44.40302084807915
traces/gcc.trace,256,4,16,16384,write-allocate,write-back,fifo,318197,197486,314171,4026,188047,9439,515683,0.01265253915027483,0.04779579311951227,0.02611100230180169,9845283,19.09173465093866
traces/gcc.trace,256,4,16,16384,write-allocate,write-back,lru,318197,197486,314798,3399,188250,9236,515683,0.01068206174162547,0.04676787215296274,0.024501486378259513,9344483,18.120595404541163
traces/gcc.trace,256,4,16,16384,write-allocate,write-through,fifo,318197,197486,314171,4026,188047,9439,515683,0.01265253915027483,0.04779579311951227,0.02611100230180169,25650283,49.74040835164239
traces/gcc.trace,256,4,16,16384,write-allocate,write-through,lru,318197,197486,314798,3399,188250,9236,515683,0.01068206174162547,0.04676787215296274,0.024501486378259513,25318283,49.096601982225515
traces/gcc.trace,128,8,16,16384,no-write-allocate,write-through,fifo,318197,197486,311124,7073,164120,33366,515683,0.02222836796072873,0.16895374862015536,0.07841833064111091,23093483,44.78232363680788
traces/gcc.trace,128,8,16,16384,no-write-allocate,write-through,lru,318197,197486,311693,6504,164933,32553,515683,0.020440167569147415,0.16483700110387572,0.07573838966962261,22865883,44.34096722211126
traces/gcc.trace,128,8,16,16384,write-allocate,write-back,fifo,318197,197486,314249,3948,188090,9396,515683,0.012407407989390221,0.0475780561660067,0.0258763620286106,9781683,18.968403069327476
